lon,lat,loc_cluster,location
100.1957706,13.5452109,4,พระราม 2
100.1979459,13.7921746,4,นครชัยศรี
100.2410976,13.7445573,4,สามพราน
100.2567268,13.688929,4,อ้อมใหญ่
100.2743956,13.5475216,4,สมุทรสาคร
100.2880757,13.7384266,4,บางซื่อ
100.2988122,13.7063337,4,อ้อมน้อย
100.3008511,13.7545273,4,พุทธมณฑล สาย5
100.3137013,13.6293869,4,แคราย
100.340807,13.699022,4,เพชรเกษม
100.3470943,13.649209,4,กระทุ่มแบน
100.350686,13.699139,4,หนองแขม
100.35622,13.706471,4,เพชรเกษม ซ.48
100.360427,13.849921,4,บางใหญ่
100.3652235,13.7065464,4,เพชรเกษม ซ.81
100.3755088,13.7276701,4,ดุสิต
100.3799364,13.7444043,4,บางแวก
100.3807558,13.5977279,4,แสมดำ
100.3837086,13.7086885,4,พุทธมณฑล สาย4
100.3858676,13.6496896,4,เอกชัย
100.3889754,13.7748818,4,พุทธมณฑล สาย2
100.3890951,13.6549352,4,บางบอน
100.4104735,13.6427129,4,พระราม 9
100.4123356,13.8248989,6,โลตัสบางใหญ่
100.4125001,13.7858947,6,กาญจนาภิเษก ซ.48
100.4133581,13.9253961,1,บางบัวทอง
100.418888,13.731557,6,เพชรเกษม ซ.59
100.4210604,13.6988894,6,บางแค
100.4219699,13.5784504,4,เทียนทะเล
100.426889,13.7587933,6,พุทธมณฑล สาย1
100.431247,13.773116,6,ตลิ่งชัน
100.4382045,13.6630189,6,เซ็นทรัลพระราม 2
100.4416707,13.6684148,6,พระราม 2 ซ.50
100.4423154,13.7663832,6,ปิ่นเกล้า
100.447233,13.749811,6,ราชพฤกษ์
100.4488079,13.7873386,6,ราชพฤกษ์ ซ.6
100.4624937,13.8068972,6,บางกรวย
100.4650157,13.8707273,1,รัตนาธิเบศร์
100.4664522,13.7763862,6,บางขุนนนท์
100.4682069,13.761277,6,จรัญสนิทวงศ์
100.469382,13.755118,6,แยกไฟฉาย
100.469827,13.833301,1,สินสมบูรณ์
100.4700412,13.7620727,6,แมคโครท่าพระ
100.4747319,13.7172428,6,สามัคคี ซ.46
100.4784558,13.7136941,6,เดอะมอลล์ท่าพระ
100.4814398,13.7171611,6,BTS กรุงธนบุรี
100.4816799,13.706422,6,ท่าพระ
100.482346,13.868509,1,พระนั่งเกล้า
100.4832171,13.7038115,6,ดาวคะนอง
100.4834458,13.7506189,6,อรุณอมรินทร์
100.4834873,13.7547469,6,ปิ่นเกล้า.อรุณอมรินทร์.ศิริราช
100.4836164,13.8694758,1,พัฒนาการ
100.485543,13.757971,6,ศิริราช
100.489067,13.7070778,6,อิสรภาพ
100.4904789,13.6764333,6,สุขสวัสดิ์ ซ.19
100.4918209,13.7071117,6,ตลาดเอซี
100.4918221,13.7745745,6,จรัญสนิทวงศ์ ซ.44
100.4930564,13.6762498,6,บางปะกอก
100.4930564,13.6762498,6,บางประกอก
100.4931021,13.7262845,6,วงเวียนใหญ่
100.4946678,13.7303728,6,แยกบ้านแขก
100.4948197,13.9154022,1,ปากเกร็ด
100.4949222,13.7087707,6,เสรีไท
100.496914,13.7272856,6,ลาดหญ้า
100.4988463,13.7897606,6,จรัญสนิทวงศ์ ซ.35
100.4993909,13.7888162,6,จรัญสนิทวงศ์ ซ.57
100.4993934,13.7890911,6,จรัญสนิทวงศ์ ซ.6
100.4995537,13.7892406,6,จรัญสนิทวงศ์ ซ.13
100.5017651,13.7563309,6,กรุงเทพ
100.5052845,13.8321691,1,วัดกำแพง
100.5087523,13.7211042,6,สำเหร่
100.5087902,13.7279708,6,คลองสาน
100.5103121,13.623301,6,เมืองทอง
100.512165,13.906906,1,คริสตัลเพลส
100.5125355,13.9033277,1,แจ้งวัฒนะ-ปากเกร็ด ซ.20
100.5133872,13.8129569,1,พระราม 7
100.514161,13.7163801,6,เจริญกรุง
100.5143528,13.8621125,1,นนทบุรี
100.514426,13.7499826,6,หัวเฉียว
100.5158037,13.9583849,1,บางคูวัด
100.5180737,13.6760213,6,ราษฎร์บูรณะ ซ.33
100.5235391,13.7854095,6,พระราม 5
100.5245102,13.694241,6,พระราม 3
100.5250276,14.0208391,1,ปทุมธานี
100.526124,13.64117,6,สุขสวัสดิ์
100.5276318,13.7130898,6,สาทร
100.528164,13.904053,1,เซ็นทรัลแจ้งวัฒนะ
100.5297152,13.9083322,1,แจ้งวัฒนะ-ปากเกร็ด ซ.19
100.5297936,13.9089067,1,แจ้งวัฒนะ-ปากเกร็ด
100.5315687,13.7516381,6,ราชเทวี
100.53224,13.806659,1,เตาปูน
100.5346141,13.7290487,6,สีลม
100.534972,13.747079,6,สยามพารากอน
100.538207,13.765089,6,อนุสาวรีย์ชัย
100.5386213,13.8542061,1,งามวงศ์วาน ซ.18
100.5386607,13.8624091,1,งามวงศ์วาน ซ.25
100.5394303,13.7931847,6,ประดิพัทธ์
100.5395687,13.8613975,1,งามวงศ์วาน ซ.27
100.5397874,13.9069309,1,นวนคร
100.5410683,13.6966011,6,โลตัสพระราม 2
100.542623,13.845775,1,ประชาชื่น
100.5433408,13.7630761,6,ดินแดง
100.5442264,13.8524619,1,พงษ์เพชร
100.5483068,13.7901705,2,สะพานควาย
100.5530446,13.7916577,2,อินทามระ ซ.22
100.5537428,13.6574562,5,พระประแดง
100.5546027,13.8037421,2,จตุจักร
100.554976,13.777388,2,ม.หอการค้า
100.5559678,13.7792877,2,อินทามระ
100.5582151,13.8925996,1,แจ้งวัฒนะ
100.5591694,13.7378539,6,รัชดา ซ.3
100.559296,13.831939,1,รัชดา ซ.48
100.5614498,13.7385283,6,สุขุมวิท
100.5622068,13.8479801,1,ม.เกษตร
100.563769,13.784819,2,โรงแรมซีเค
100.5655885,13.648699,5,ปู่เจ้าสมิงพราย
100.5705055,13.7854204,2,อินทามระ ซ.47
100.57109,13.774295,2,คริสตัลโฮเตล
100.5716084,13.8234432,2,พหลโยธิน ซ.52
100.572415,13.8220667,2,พหลโยธิน ซ.44
100.572925,13.786388,2,โรงแรมวัฒนา
100.5735726,13.839807,1,งามวงศ์วาน
100.5739529,13.7790391,2,ห้วยขวาง
100.5744066,13.7890148,2,สุทธิสาร
100.5760456,13.778416,2,ประชาราษฎ์บำเพ็ญ
100.5774799,13.8841935,1,หลักสี่
100.5781878,13.8011514,2,ลาดพร้าว ซ.18
100.5790876,13.8012249,2,ลาดพร้าว ซ.114
100.5795803,13.8401412,1,เกษตรนวมินทร์
100.57972,13.8641559,1,วงเวียนบางเขน
100.5797391,13.7282672,5,สุขุมวิท ซ.107
100.5798061,13.9503516,1,ศรีสมาน
100.5798768,13.8764757,1,วิภาวดี
100.5801092,13.7279873,5,สุขุมวิท ซ.103
100.5804726,13.8482306,1,กรมป่าไม้
100.5805363,13.7121554,5,ม.กรุงเทพ
100.5809508,13.7987108,2,ลาดพร้าว ซ.115
100.581955,13.711375,5,ม.กรุงเทพรังสิต
100.5824258,13.808117,2,ลาดพร้าว
100.5825355,13.7339984,5,ทองหล่อ
100.5825655,13.9332942,1,สรงประภา
100.5827003,13.798475,2,ลาดพร้าว ซ.80
100.5844151,13.8549925,1,ม.ศรีปทุม
100.5852665,13.7259897,5,สุขุมวิท ซ.76
100.58584,13.778169,2,รัชดา
100.5861424,13.9656101,3,ม.รังสิต
100.5886308,13.7813438,2,ประชาราษฎ์บำเพ็ญ ซ.26
100.5912344,13.7152036,5,พระโขนง
100.5958632,13.7147194,5,สุขุมวิท ซ.77
100.5959404,13.7272025,5,สุขุมวิท ซ.71
100.596341,13.811309,2,โชคชัย 4
100.5965657,13.7142699,5,สุขุมวิท ซ.50
100.596766,13.650032,5,สำโรง
100.5998319,13.5990961,5,ปากน้ำ
100.5998319,13.5990961,5,สมุทรปราการ
100.5998319,13.5990961,5,โรบินสันปากน้ำ
100.6005145,13.8169454,2,รัชดา ซ.7
100.6007577,13.7447089,2,รามคำแหง ซ.65
100.6010774,13.7055818,5,อ่อนนุช
100.6011104,13.7058594,5,BTS อ่อนนุช
100.6012127,13.8180375,2,ลาดพร้าว ซ.9
100.6016319,13.6609863,5,BTS บางนา
100.6038701,13.9245384,1,ดอนเมือง
100.604179,13.88126,1,พหลโยธิน
100.6048034,13.6682906,5,โรบินสันบางนา
100.6048034,13.6682906,5,บางนา
100.6048034,13.6682906,5,โลตัสบางนา
100.6068784,13.8156943,2,รัชดา ซ.17
100.6068784,13.8156943,2,ห้วยขวาง ซ.17
100.609437,13.8968953,1,สะพานใหม่
100.6095905,13.6799151,5,อุดมสุข
100.6101543,13.6694549,5,ไบเทคบางนา
100.6107229,13.7579785,2,รามคำแหง ซ.81
100.610878,13.8202543,2,รัชโยธิน
100.611186,13.889078,1,สะพานใหม่ ซ.50
100.612367,13.785789,2,บิ๊กซีลาดพร้าว
100.6129534,13.7194781,5,สวนหลวง
100.614051,13.801804,2,โลตัสเลียบทางด่วนรามอินทรา
100.614128,13.865718,2,บางเขน
100.615557,13.7765923,2,ลาดพร้าว ซ.94
100.615561,13.940476,3,ดอนเมือง/รังสิต
100.6166641,13.9870816,3,เมเจอร์รังสิต
100.6175714,13.6366611,5,ด่านสำโรง
100.6179542,14.0044429,3,รังสิต-คลองหลวง
100.6179542,14.0044429,3,รังสิตคลองหลวง
100.6187094,13.8339952,2,รัชดา ซ.14
100.618836,13.756339,2,รามคำแหง
100.619003,13.7766334,2,ลาดพร้าว ซ.122
100.619003,13.7766334,2,ลาดพร้าว ซ.112
100.6210885,13.7872129,2,ลาดพร้าว ซ.81
100.6211668,13.7872105,2,ลาดพร้าว ซ.83
100.6213592,13.7869758,2,ลาดพร้าว ซ.130
100.6214179,13.786979,2,ลาดพร้าว ซ.128
100.6214777,13.7872401,2,ลาดพร้าว ซ.101
100.6215903,13.7872506,2,ลาดพร้าว ซ.107
100.6217926,13.6448008,5,แบริ่ง ซ.4
100.6217926,13.6448008,5,แบริ่ง
100.6243621,13.8602694,2,ฟู๊ดแลนด์ลาดพร้าว
100.6274501,13.7973471,2,เรวดี
100.6280603,13.9752573,3,รังสิตนครนายก ซ.20
100.6290235,13.7738876,2,ลาดพร้าว ซ.128/2
100.6296559,13.6597161,5,สุขุมวิท ซ.93
100.630509,13.7032472,5,อ่อนนุช ซ.44
100.6341355,13.98776,3,เทศบาลรังสิต
100.6343016,13.7107563,5,อ่อนนุช ซ.46
100.6344841,13.6683292,5,เซ็นทรัลบางนา
100.6355538,13.8544879,2,รามอินทรา ซ.45/1
100.638398,13.848173,2,เลียบทางด่วนรามอินทรา
100.6390735,13.7844138,2,แฮปปี้แลนด์
100.6419681,13.841658,2,รามอินทรา ซ.60
100.6426376,13.838732,2,รามอินทรา
100.642899,13.762263,2,รามคำแหง ซ.50
100.645904,13.678883,5,ศรีนครินทร์
100.6464678,13.8624145,2,วัชรพล
100.6470815,13.6927889,5,โลตัสศรีนครินทร์
100.6472403,13.8451196,2,รามอินทรา ซ.19
100.6473885,13.7650282,2,บางกะปิ
100.648164,13.6935189,5,ซีคอนสแควร์
100.64883,13.801073,2,นวมินทร์
100.6513234,13.9984702,3,รังสิตนครนายก ซ.49
100.6513234,13.9984702,3,รังสิต-นครนายก ซ.49
100.65297,13.520989,5,บางปู
100.6551631,13.94832,3,รังสิตคลอง 1
100.655354,13.616539,5,เทพารักษ์
100.658511,14.073996,3,คลองหลวง
100.6602794,13.6268923,5,คลองตัน
100.66054,13.689014,5,สวนหลวง ร.9
100.660681,13.769822,2,สุขาภิบาล 3
100.6612194,13.8271045,2,นวมินทร์ ซ.88
100.6613779,13.8309118,2,นวมินทร ซ.94
100.6614524,13.8333475,2,นวมินทร์ ซ.96
100.6642596,13.5294559,5,เมืองเอก
100.6644859,14.0244121,3,รังสิตคลอง 2
100.665327,13.8316502,2,รามอินทรา ซ.58
100.6660138,13.7877279,2,เสรีไท ซ.43
100.6668231,13.9020406,3,รามอินทรา กม.2
100.671517,13.722946,5,โลตัสอ่อนนุช
100.6764819,13.8248997,2,แฟชั่นไอซ์แลนด์
100.6798071,13.6486083,5,เมกาบางนา
100.682854,13.6660906,5,รามคำแหง 2
100.683202,13.9213159,3,สายไหม
100.6841965,13.9804792,3,ลำลูกกาคลอง 2
100.6843535,13.9905591,3,ธัญบุรีคลอง 1
100.6867022,13.9328092,3,ลาดสวาย
100.6897349,13.9743888,3,ลำลูกกาคลอง 4
100.6911551,13.8125721,2,รามอินทรา ซ.37
100.6914092,13.812415,2,รามอินทรา ซ.33
100.6928479,13.8130705,2,รามอินทรา ซ.18
100.696063,13.71579,5,ประเวศ
100.696431,13.7445277,2,อ่อนนุช ซ.10
100.7110081,13.6317686,5,บางพลี
100.7235473,13.9290033,3,ลำลูกกา
100.7235473,13.9290033,3,ลำลูกกาคลอง 7
100.7266342,13.7622947,2,เคหะร่มเกล้า
100.731339,13.8130488,2,มีนบุรี
100.7321857,13.8001492,2,รามอินทรา ซ.14
100.7346465,13.9431185,3,ลำลูกกาคลอง 3
100.7379706,14.0173141,3,รังสิต
100.7399777,14.0207233,3,รังสิตคลอง 6
100.740713,13.719454,5,กิ่งแก้ว
100.746237,13.770999,2,ร่มเกล้า
100.7486314,13.7277339,5,ลาดกระบัง
100.7522662,13.6980931,5,สุวรรณภูมิ