"","alllocation","lon","lat"
"1","ลาดพร้าว",100.5824258,13.808117
"2","รัชดา",102.8621005,16.4066663
"3","รัชดา ซ.7",100.6005145,13.8169454
"4","คริสตัลโฮเตล",NA,NA
"5","บางแค",100.4210604,13.6988894
"6","รังสิต",100.7379706,14.0173141
"7","โคราช",102.0977693,14.9798997
"8","สุขาภิบาล 3",99.9223971,15.3764069
"9","ม.กรุงเทพรังสิต",100.6159675,14.0391286
"10","เพชรเกษม",99.1216708,10.5101363
"11","อินทามระ",100.5559678,13.7792877
"12","สะพานควาย",100.5483068,13.7901705
"13","ม.เกษตร",100.5622068,13.8479801
"14","เลียบทางด่วนรามอินทรา",NA,NA
"15","วงเวียนบางเขน",100.57972,13.8641559
"16","บางเขน",99.0130211,18.896871
"17","ปากน้ำ",100.5998319,13.5990961
"18","โรบินสันบางนา",100.6048034,13.6682906
"19","เทพารักษ์",100.2604473,16.8280168
"20","รามอินทรา ซ.45/1",100.6355538,13.8544879
"21","งามวงศ์วาน",100.5735726,13.839807
"22","แยกไฟฉาย",NA,NA
"23","จรัญสนิทวงศ์",100.4682069,13.761277
"24","เดอะมอลล์ท่าพระ",100.4784558,13.7136941
"25","เมืองเอก",100.6642596,13.5294559
"26","ดอนเมือง",100.6038701,13.9245384
"27","สมุทรปราการ",100.5998319,13.5990961
"28","ศรีนครินทร์",99.0460525,14.6341882
"29","สำโรง",100.0489033,15.6564187
"30","บางปู",100.5770438,7.1573852
"31","โรบินสันปากน้ำ",100.5998319,13.5990961
"32","พระราม 2",100.1957706,13.5452109
"33","ลาดพร้าว ซ.83",100.6211668,13.7872105
"34","พระราม 3",100.5245102,13.694241
"35","สาทร",100.5276318,13.7130898
"36","เจริญกรุง",100.514161,13.7163801
"37","ท่าพระ",100.4816799,13.706422
"38","บางนา",100.6048034,13.6682906
"39","บางกะปิ",100.6473885,13.7650282
"40","รามคำแหง",99.8197087,17.0088634
"41","เมืองทอง",100.5103121,13.623301
"42","แจ้งวัฒนะ",100.5582151,13.8925996
"43","นนทบุรี",100.5143528,13.8621125
"44","หลักสี่",100.5774799,13.8841935
"45","รามคำแหง ซ.65",100.6007577,13.7447089
"46","ลาดพร้าว ซ.122",100.619003,13.7766334
"47","ปิ่นเกล้า.อรุณอมรินทร์.ศิริราช",100.4834873,13.7547469
"48","ตลิ่งชัน",98.3904057,7.8796434
"49","กรุงเทพ",100.5017651,13.7563309
"50","ปราจีนบุรี",101.6600874,14.0420699
"51","สุขุมวิท ซ.50",100.5965657,13.7142699
"52","อ่อนนุช",100.6010774,13.7055818
"53","ขอนแก่น",102.8359921,16.4419355
"54","พระราม 2 ซ.50",100.4416707,13.6684148
"55","เชียงใหม่",98.9931284,18.787747
"56","รัชดา ซ.17",100.6068784,13.8156943
"57","รามอินทรา",100.6426376,13.838732
"58","ลาดพร้าว ซ.128/2",100.6290235,13.7738876
"59","โลตัสศรีนครินทร์",100.6470815,13.6927889
"60","ไบเทคบางนา",100.6101543,13.6694549
"61","เซ็นทรัลบางนา",100.6344841,13.6683292
"62","BTS บางนา",100.6016319,13.6609863
"63","พระโขนง",100.5912344,13.7152036
"64","สุขุมวิท",100.5614498,13.7385283
"65","BTS",100.5508368,13.7650548
"66","BTS อ่อนนุช",100.6011104,13.7058594
"67","ประชาชื่น",102.5950475,14.5812093
"68","อนุสาวรีย์ชัย",102.1883003,17.7744898
"69","อินทามระ ซ.22",100.5530446,13.7916577
"70","โรงแรมซีเค",NA,NA
"71","สุทธิสาร",100.5744066,13.7890148
"72","โรงแรมวัฒนา",99.3555559,9.0972808
"73","ร่มเกล้า",101.6890506,13.3901299
"74","ลาดกระบัง",100.7486314,13.7277339
"75","มีนบุรี",100.731339,13.8130488
"76","ลาดพร้าว ซ.107",100.6215903,13.7872506
"77","จตุจักร",100.5546027,13.8037421
"78","MRT",-83.3306378,36.1105392
"79","จรัญสนิทวงศ์ ซ.13",100.4995537,13.7892406
"80","จรัญสนิทวงศ์ ซ.35",100.4988463,13.7897606
"81","ราชพฤกษ์",102.0243115,15.8039665
"82","จรัญสนิทวงศ์ ซ.6",100.4993934,13.7890911
"83","สามัคคี ซ.46",100.4747319,13.7172428
"84","เซ็นทรัลพระราม 2",100.4382045,13.6630189
"85","แจ้งวัฒนะ-ปากเกร็ด ซ.19",100.5297152,13.9083322
"86","ลาดพร้าว ซ.130",100.6213592,13.7869758
"87","รามอินทรา กม.2",100.6668231,13.9020406
"88","ดินแดง",100.5433408,13.7630761
"89","รามคำแหง ซ.81",100.6107229,13.7579785
"90","พระประแดง",100.5537428,13.6574562
"91","สุขสวัสดิ์",104.1359512,17.1578643
"92","รามอินทรา ซ.37",100.6911551,13.8125721
"93","สวนหลวง",100.6129534,13.7194781
"94","ซีคอนสแควร์",100.648164,13.6935189
"95","รามคำแหง 2",100.682854,13.6660906
"96","ทองหล่อ",100.5825355,13.7339984
"97","เคหะร่มเกล้า",100.7266342,13.7622947
"98","เมกาบางนา",100.6798071,13.6486083
"99","ปิ่นเกล้า",100.4423154,13.7663832
"100","สีลม",100.5346141,13.7290487
"101","พัทยา",100.8966652,12.9499331
"102","พัทยากลาง",100.881944,12.935556
"103","นวนคร",100.5397874,13.9069309
"104","ประตูน้ำพระอินทร",NA,NA
"105","ลำลูกกา",100.7235473,13.9290033
"106","ห้วยขวาง",100.5739529,13.7790391
"107","ลาดพร้าว ซ.101",100.6214777,13.7872401
"108","นวมินทร์",98.9531709,18.8403803
"109","ปากเกร็ด",100.4948197,13.9154022
"110","งามวงศ์วาน ซ.18",100.5386213,13.8542061
"111","สงขลา",100.614347,7.1756004
"112","หาดใหญ่",100.4747374,7.0086093
"113","แบริ่ง ซ.4",100.6217926,13.6448008
"114","สุขุมวิท ซ.76",100.5852665,13.7259897
"115","พัฒนาการ",100.4836164,13.8694758
"116","รามคำแหง ซ.50",100.642899,13.762263
"117","อยุธยา",100.4642066,14.5266488
"118","ลาดพร้าว ซ.114",100.5790876,13.8012249
"119","อ่อนนุช ซ.46",100.6343016,13.7107563
"120","สวนหลวง ร.9",99.3516093,9.1461069
"121","อุดมสุข",100.6095905,13.6799151
"122","พุทธมณฑล สาย1",100.426889,13.7587933
"123","พุทธมณฑล สาย2",100.3889754,13.7748818
"124","รามอินทรา ซ.19",100.6472403,13.8451196
"125","เกษตรนวมินทร์",100.5795803,13.8401412
"126","ลำลูกกาคลอง 7",100.7235473,13.9290033
"127","พระราม 7",100.5133872,13.8129569
"128","เพชรเกษม ซ.59",100.4341515,6.997044
"129","อินทามระ ซ.47",100.5705055,13.7854204
"130","อิสรภาพ",100.489067,13.7070778
"131","วงเวียนใหญ่",100.4931021,13.7262845
"132","ห้วยขวาง ซ.17",100.6068784,13.8156943
"133","บางแสน",100.911884,13.2911077
"134","พหลโยธิน ซ.44",100.572415,13.8220667
"135","รังสิต-คลองหลวง",100.6179542,14.0044429
"136","ด่านสำโรง",100.6175714,13.6366611
"137","สะพานใหม่",100.609437,13.8968953
"138","วิภาวดี",100.5798768,13.8764757
"139","คลองหลวง",104.6292546,15.2592598
"140","ธัญบุรี",100.8273123,14.0542117
"141","พระราม 9",100.4104735,13.6427129
"142","ลำลูกกาคลอง 2",100.6841965,13.9804792
"143","ปทุมธานี",100.5250276,14.0208391
"144","ลาดพร้าว ซ.80",100.5827003,13.798475
"145","รัชดา ซ.3",100.5591694,13.7378539
"146","ราชพฤกษ์ ซ.6",100.4488079,13.7873386
"147","ลาดพร้าว ซ.115",100.5809508,13.7987108
"148","บางซื่อ",100.2880757,13.7384266
"149","เตาปูน",99.5372539,14.0191763
"150","พหลโยธิน ซ.52",100.5716084,13.8234432
"151","บางขุนนนท์",100.4664522,13.7763862
"152","บางขุนเทียน",100.7236972,13.5070897
"153","บางบอน",100.3890951,13.6549352
"154","เอกชัย",100.3858676,13.6496896
"155","เทียนทะเล",100.4219699,13.5784504
"156","ภูเก็ต",98.3380884,7.9519331
"157","สายไหม",100.683202,13.9213159
"158","สุขาภิบาล 5",101.3470289,13.7473367
"159","โลตัสพระราม 2",100.5410683,13.6966011
"160","แสมดำ",100.3807558,13.5977279
"161","สมุทรสาคร",100.2743956,13.5475216
"162","บางปะกอก",100.4930564,13.6762498
"163","ท่าข้าม",100.1191136,14.4402276
"164","สยามพารากอน",100.9522614,12.863027
"165","ประเวศ",100.3784462,16.0400986
"166","กาญจนาภิเษก ซ.48",100.4125001,13.7858947
"167","คลองสาน",100.5087902,13.7279708
"168","แจ้งวัฒนะ-ปากเกร็ด ซ.20",100.5125355,13.9033277
"169","นวมินทร์ ซ.96",100.6614524,13.8333475
"170","ดอนเมือง/รังสิต",100.615561,13.940476
"171","จรัญสนิทวงศ์ ซ.44",100.4918221,13.7745745
"172","หนองแขม",100.1367166,17.047804
"173","สะพานใหม่ ซ.50",99.4189679,7.7190685
"174","กิ่งแก้ว",102.8351366,16.4892782
"175","รามอินทรา ซ.60",100.6419681,13.841658
"176","รังสิตคลองหลวง",100.6179542,14.0044429
"177","พุทธมณฑล สาย5",100.3008511,13.7545273
"178","พุทธมณฑล สาย4",100.3837086,13.7086885
"179","เพชรเกษม ซ.81",100.3652235,13.7065464
"180","อ้อมน้อย",100.2988122,13.7063337
"181","สินสมบูรณ์",100.469827,13.833301
"182","กระทุ่มแบน",100.3470943,13.649209
"183","สามพราน",100.2410976,13.7445573
"184","บางประกอก",100.4930564,13.6762498
"185","ม.กรุงเทพ",100.5805363,13.7121554
"186","ลำลูกกาคลอง 3",100.7346465,13.9431185
"187","รังสิตคลอง 6",100.7399777,14.0207233
"188","ศิริราช",104.8342901,15.2710038
"189","แฮปปี้แลนด์",100.6390735,13.7844138
"190","นวมินทร์ ซ.88",100.6612194,13.8271045
"191","ประดิพัทธ์",100.5394303,13.7931847
"192","ศรีสมาน",100.5798061,13.9503516
"193","แบริ่ง",100.6217926,13.6448008
"194","ปู่เจ้าสมิงพราย",100.5655885,13.648699
"195","รัชดา ซ.14",100.6187094,13.8339952
"196","ฟู๊ดแลนด์ลาดพร้าว",100.6243621,13.8602694
"197","ชลบุรี",100.9846717,13.3611431
"198","ราษฎร์บูรณะ ซ.33",100.5180737,13.6760213
"199","จรัญสนิทวงศ์ ซ.57",100.4993909,13.7888162
"200","บางพลี",100.7110081,13.6317686
"201","โลตัสอ่อนนุช",NA,NA
"202","เสรีไท ซ.43",100.6660138,13.7877279
"203","เสรีไท",100.4949222,13.7087707
"204","รังสิตคลอง 1",100.6551631,13.94832
"205","ลาดพร้าว ซ.112",100.619003,13.7766334
"206","รามอินทรา ซ.33",100.6914092,13.812415
"207","เพชรเกษม ซ.48",99.9523081,12.6680972
"208","ธัญบุรีคลอง 1",100.6843535,13.9905591
"209","รังสิตนครนายก ซ.20",100.6280603,13.9752573
"210","เซ็นทรัลแจ้งวัฒนะ",-86.1585817,38.0997912
"211","สุขุมวิท ซ.103",100.5801092,13.7279873
"212","บางใหญ่",98.7794429,10.2710152
"213","บิ๊กซีลาดพร้าว",NA,NA
"214","ลำลูกกาคลอง 4",100.6897349,13.9743888
"215","ลาดพร้าว ซ.128",100.6214179,13.786979
"216","ลาดพร้าว ซ.18",100.5781878,13.8011514
"217","รามอินทรา ซ.18",100.6928479,13.8130705
"218","เมเจอร์รังสิต",100.6166641,13.9870816
"219","สุขุมวิท ซ.107",100.5797391,13.7282672
"220","BTS กรุงธนบุรี",100.4814398,13.7171611
"221","เทศบาลรังสิต",100.6341355,13.98776
"222","ม.หอการค้า",100.554976,13.777388
"223","งามวงศ์วาน ซ.25",100.5386607,13.8624091
"224","แฟชั่นไอซ์แลนด์",100.6764819,13.8248997
"225","วัชรพล",100.6464678,13.8624145
"226","พระราม 5",100.5235391,13.7854095
"227","บางกรวย",100.4624937,13.8068972
"228","สุขุมวิท ซ.93",100.6296559,13.6597161
"229","โลตัสบางนา",100.6048034,13.6682906
"230","ลาดพร้าว ซ.94",100.615557,13.7765923
"231","คลองตัน",100.6602794,13.6268923
"232","รามอินทรา ซ.58",100.665327,13.8316502
"233","โชคชัย 4",100.646151,14.8215925
"234","รามอินทรา ซ.14",100.7321857,13.8001492
"235","สุขุมวิท ซ.71",100.5959404,13.7272025
"236","ฉะเชิงเทรา",101.0779596,13.6904194
"237","รัตนาธิเบศร์",100.4650157,13.8707273
"238","โลตัสบางใหญ่",100.4123356,13.8248989
"239","บางแวก",100.3799364,13.7444043
"240","รังสิตคลอง 2",100.6644859,14.0244121
"241","บางคูวัด",100.5158037,13.9583849
"242","สรงประภา",100.5825655,13.9332942
"243","ดาวคะนอง",100.4832171,13.7038115
"244","สุขสวัสดิ์ ซ.19",100.4904789,13.6764333
"245","สำเหร่",100.5087523,13.7211042
"246","อ้อมใหญ่",100.2567268,13.688929
"247","ม.ศรีปทุม",100.5844151,13.8549925
"248","สุวรรณภูมิ",100.7522662,13.6980931
"249","แยกบ้านแขก",100.4946678,13.7303728
"250","ลาดหญ้า",100.496914,13.7272856
"251","ดุสิต",100.3755088,13.7276701
"252","ราชเทวี",100.5315687,13.7516381
"253","รังสิต-นครนายก",100.9198538,14.0861947
"254","รังสิตนครนายก ซ.49",100.6513234,13.9984702
"255","รังสิตนครนายก",100.9198538,14.0861947
"256","พระนั่งเกล้า",NA,NA
"257","บางบัวทอง",100.4133581,13.9253961
"258","แคราย",100.3137013,13.6293869
"259","นครศรีธรรมราช",99.9631219,8.4303975
"260","ลาดสวาย",100.6867022,13.9328092
"261","ตลาดเอซี",100.4918209,13.7071117
"262","หัวเฉียว",100.514426,13.7499826
"263","อ่อนนุช ซ.44",100.630509,13.7032472
"264","นวมินทร ซ.94",100.6613779,13.8309118
"265","ลาดพร้าว ซ.81",100.6210885,13.7872129
"266","พงษ์เพชร",100.5442264,13.8524619
"267","แมคโครท่าพระ",100.4700412,13.7620727
"268","รังสิต-นครนายก ซ.49",100.6513234,13.9984702
"269","สุขุมวิท ซ.77",100.5958632,13.7147194
"270","อ่อนนุช ซ.10",100.696431,13.7445277
"271","พหลโยธิน",100.9051382,14.540559
"272","กรมป่าไม้",100.5804726,13.8482306
"273","ลาดพร้าว ซ.9",100.6012127,13.8180375
"274","งามวงศ์วาน ซ.27",100.5395687,13.8613975
"275","โลตัสเลียบทางด่วนรามอินทรา",NA,NA
"276","เรวดี",100.6274501,13.7973471
"277","อรุณอมรินทร์",100.4834458,13.7506189
"278","ประชาราษฎ์บำเพ็ญ",100.5760456,13.778416
"279","ประชาราษฎ์บำเพ็ญ ซ.26",100.5886308,13.7813438
"280","วัดกำแพง",100.5052845,13.8321691
"281","คริสตัลเพลส",NA,NA
"282","Airport Link",153.0335264,-27.4238572
"283","ม.รังสิต",100.5861424,13.9656101
"284","แจ้งวัฒนะ-ปากเกร็ด",100.5297936,13.9089067
"285","นครชัยศรี",100.1979459,13.7921746
"286","สุพรรณบุรี",100.1177128,14.4744892
"287","นครปฐม",100.0372929,13.8140293
"288","ราชบุรี",99.8134211,13.5282893
"289","นครนายก",101.2130511,14.2069466
"290","กาญจนบุรี",99.5328115,14.0227797
"291","รัชดา ซ.48",102.8621005,16.4066663
"292","รัชโยธิน",100.610878,13.8202543
